title,speakers,description,topics,productAreas,industries
Pega Process Mining 101: Continuously Improve and Transform Your Pega Workflows with Process Mining,Kleber Stroeh VP of Process Mining Pega,"Although it started as an academic research field in the late 1990s, process mining has since evolved into a powerful business tool that allows organizations to get true visibility into their end-to-end processes in a way that wasn't possible before. With that visibility comes a superpower: the ability to take a data-driven approach to process improvements, including advanced analyses, simulating the impact of potential improvements, and monitoring the real effect of those improvements over time. Join Kleber Stroeh, VP of Process Mining at Pega, for a crash course in the power of Pega Process Mining and a look at the amazing impact it can have on your Pega workflows.",AI and Decisioning,Intelligent Automation,Cross-Industry
The Future of Work: The Autonomous Enterprise,"Ken Parmelee Senior Director, Intelligent Automation Pega Phil Fersht CEO and Chief Analyst HFS","Leading organizations are focused on automating their business to create new business opportunities, reduce costs, and better service their customers. Enterprises are on various levels of automation maturity. Learn how successful companies are progressing from simple low code and case management up through autonomous service. Understand how businesses determine where to best invest to drive value with automation.",Workflow Automation,Intelligent Automation,Cross-Industry
Pega Solutions Built by Google: How Google built their Solid Foundation to Scale Quickly Across Alphabet,"Kendall Lin Program Lead, Corp Engineering Journey Orchestration Google Shaena Heintz Director, Google Cloud Google","Google is changing business as usual -- again. Using a hybrid-cloud approach, Google is delivering solutions that scale. A centralized approach solves for consistent Privacy, Security and Accessibility across the Alphabet portfolio. Join Kendall Lin, Program Lead, Corp Engineering Journey Orchestration to learn about their journey and what is next with Pega.  Shaena Heintz, Director, Google Cloud joins for an exciting announcement that you will not want to miss!",Cloud,All Products,Cross-Industry
"Molina’s Next Gen Utilization Management Platform – One System Driving Experience, Efficiency, and Effectiveness","Joanne Ortiz Vice President, IT Molina Healthcare Pamela Sanborn SVP, Clinical Operations Molina Healthcare Himanshu Arora AVP-Group Practice Engagement Manager Infosys Limited","Molina has built a Next Gen Utilization Management Platform – all on Pega Care Management. Join this session to learn all about this new solution as it enables the customer to integrate multiple intake channels (EDI, fax, email, portal) to one single system handling prior authorizations, automating workflows, reports, SLA management, and correspondence.",Business Agility Low-Code Development Workflow Automation,Customer Service Intelligent Automation,Healthcare
LeasePlan’s Transition to a Fully Digital Business Model,Lex Ruijter Global Pega Application Manager LeasePlan,"LeasePlan’s vision is to become a Car-as-a-Service organization with a strong focus on service efficiency and digital channels to optimize costs and capture market growth. Join this session to learn more about Pega’s role as one of the key partners in LeasePlan’s Car-as-a-Service model. This vision is enabled through the COE, established by Lex Ruijter (Global Pega Application Manager) with sponsorship from IT senior leadership, including senior managers, Niall Harrison and Marco van Velthoven.",Platform-as-a-Service,Intelligent Automation,Financial Services
Électricité de France Increases Upsell of Consumer Home Services with Pega,"Olivier Jehl IT Director, B to C Commerce EDF Emile LAM Head of Pega CoE EDF","Highly popular with Électricité de France’s (EDF) customer service representatives, EDF’s global solution – named “Conquête” (conquest or win) – comprises a complete marketing system based on one-to-one customer engagement. Learn how this easy-to-use, omni-channel pre-sales process with next best action allows EDF call center advisors and client prospects to obtain personalized offers and price estimates fast via self-service. The results: significantly increased sales of optional home services to gas and electric customers, such as warranties, insurance, and repair services.",AI and Decisioning Customer Engagement Customer Service Operational Excellence Personalized Customer Experiences Sales Automation,Customer Decision Hub Customer Service,Utilities
CDRH promotes digital transformation.,Elizabeth McNamara Program Director for Digital Transformation U.S. Food and Drug Administration Kenneth Sullivan Principal US Food and Drug Administration,"The U.S. Food & Drug Administration’s (FDA) Center for Device & Radiological Health (CDRH) improved support for the medical device review process through an enterprise modernization initiative. The CDRH Progress Tracker (PT) portal provides a centralized, plain language, self-service touchpoint for medical device review processes – using a low code platform capability to accelerate application development and increase user productivity. Join this session to see how PT re-envisioned how CDRH interacts with medical device manufacturers worldwide, using a secure cloud-based solution and significantly improving the customer experience.",Digital Transformation Low-Code Development Workflow Automation,Intelligent Automation,Government
NTT: Improving Customer Experiences and Streamlining Operations with Pega Cloud,"Yukimasa Mimura Manager - Digital Transformation Headquarters, Digital Innovation Department NTT East Yuki Kaneko Digital Transformation Headquarters, Digital Innovation Department NTT East","NTT Group is one of the world’s largest telecommunications companies, providing ICT services on a global scale. NTT is supporting its customers in the adoption of digital services and strongly developing its own digital transformation through smart operations without the human workforce. The organization is using the Pega Platform™ and Pega Cloud® as the core solutions to realize this. Join this session to learn more about NTT’s digital transformation initiatives and future plans of NTT East, a core company of NTT Group.",Digital Transformation Low-Code Development Operational Excellence Robotic Process Automation Workflow Automation,Cloud Intelligent Automation Platform Robotic Process Automation,Communications Service Providers
"Mapping the AI Landscape: From Generative, Predictive to Prescriptive AI","Peter van der Putten Director, AI Lab Pegasystems Shoel Perelman VP, 1:1 Customer Engagement, Decisioning & AI Pegasystems Christian Guttmann VP Engineering, Decisioning & AI Pegasystems","Get ready to explore the world of AI and unlock its potential business applications with Pega. From Google searches to AI-generated playlists on Spotify, we are surrounded by artificial intelligence every day. Now, with generative AI systems like ChatGPT, we can take an even more hands-on approach. But have you ever thought about how the creative power of generative AI can be combined with Pega's intelligence and workflow capabilities to revolutionize your business? Join this session to see how!",AI and Decisioning,All Products,Cross-Industry
Building for the Total User Experience with Pega Constellation,"Paul Barnes Senior Director, Business Excellence, Intelligent Automation Pega Lex Ruijter Global Pega Application Manager LeasePlan Marco Duizer Consulting Manager Pega","As customer and employee expectations continue to expand, enterprises grapple with how to meet demand. Determining how to optimize seamless experiences across channels is forcing many leaders to rethink how they deliver innovative solutions that delight end users. Join this session to hear how LeasePlan dared to innovate across three business scenarios, leveraging Pega Constellation’s open UX technology and prescriptive design system to deliver exceptional experiences in Pega work portals, embed Pega workflows in other web applications, and drive Pega workflows via Constellation DX API.",Business Agility Cloud Customer Onboarding Digital Transformation Low-Code Development UX and Design,Intelligent Automation Other,Cross-Industry Financial Services
